region,annee,type,nb_etab,nb_ecrans,nb_fauteuils,nb_seances,nb_entrees,recette,rme,indice_freq,tmof
BOURGOGNE-FRANCHE-COMTE,1998,T,103,225,41445,190698,5744089,29286480.62,5.09854227885397,2.10627928449217,17.7177514621699
BOURGOGNE-FRANCHE-COMTE,1999,T,107,245,45188,198594,4859098,24281090.78,4.9970366475424,1.78176512563043,14.4227246503317
BOURGOGNE-FRANCHE-COMTE,2000,T,108,254,47617,239970,5238384,26265182.6,5.01398572536874,1.92084414141481,12.8205536736894
BOURGOGNE-FRANCHE-COMTE,2001,T,107,253,46450,239144,6077079,31046459.42,5.10877996155719,2.22838218696166,14.9935005981285
BOURGOGNE-FRANCHE-COMTE,2002,T,108,267,49428,231726,5774932,30575854.42,5.29458258902443,2.11758899295449,14.7362835099378
BOURGOGNE-FRANCHE-COMTE,2003,T,101,250,46552,244154,5452410,29702797.05,5.44764554573115,1.96167890105312,12.5838199522788
BOURGOGNE-FRANCHE-COMTE,2004,T,100,247,46283,250175,6376703,35365018.66,5.54597237161587,2.29422287270805,14.6964890763955
BOURGOGNE-FRANCHE-COMTE,2005,T,100,256,46690,262061,5584473,31127100.02,5.57386525460863,1.97931500377293,12.5699716612113
BOURGOGNE-FRANCHE-COMTE,2006,T,96,249,43913,269054,6362619,35850009.41,5.63447369864517,2.25511471717935,13.6612019159378
BOURGOGNE-FRANCHE-COMTE,2007,T,97,255,45124,256021,5915491,33233783.83,5.61809388772631,2.09663832039007,13.3570874816838
BOURGOGNE-FRANCHE-COMTE,2008,T,100,259,45729,282356,6319007,36279583.64,5.74134253055899,2.23965723606259,12.9916789406269
BOURGOGNE-FRANCHE-COMTE,2009,T,100,259,45729,279470,6434532,37359829.65,5.80614559846777,2.2806029736122,13.5087199933709
BOURGOGNE-FRANCHE-COMTE,2010,T,98,256,44950,281400,6552256,39362523.0,6.00747635623517,2.32232810676337,13.6662737488376
BOURGOGNE-FRANCHE-COMTE,2011,T,98,257,45754,289490,6945679,41691930.24,6.00257084152608,2.46176974194173,14.025316887159
BOURGOGNE-FRANCHE-COMTE,2012,T,97,255,45993,289577,6402455,38943394.28,6.082572119601,2.26923386369331,12.6737922681861
BOURGOGNE-FRANCHE-COMTE,2013,T,98,265,47330,309522,6319958,38598140.89,6.10734136049638,2.23999430073612,11.7209901387057
BOURGOGNE-FRANCHE-COMTE,2014,T,94,262,45324,327018,7213467,43534975.84,6.03523601619027,2.55668233373514,12.6921911989918
BOURGOGNE-FRANCHE-COMTE,2015,T,91,267,47833,344767,7360264,45353926.9,6.1619973006403,2.60871186357777,12.3671827338276
BOURGOGNE-FRANCHE-COMTE,2016,T,91,266,46006,355827,7701020,47715294.22,6.19597069219402,2.72948663738823,12.7128066890617
BOURGOGNE-FRANCHE-COMTE,2017,T,92,268,47062,357730,7505333,46720782.82,6.22501131129025,2.66012893521234,12.0627617657859
BOURGOGNE-FRANCHE-COMTE,2018,T,92,278,48759,363945,7175399,44615377.16,6.21782526100639,2.54318982270256,11.3515965381881
BOURGOGNE-FRANCHE-COMTE,2019,T,91,280,49009,369050,7643779,48460006.74,6.33979694337055,2.70919860481453,12.0810612068216
BOURGOGNE-FRANCHE-COMTE,2020,T,92,280,48835,184923,2311781,14382716.11,6.22148729053487,0.819368778170685,7.29805747840476
BRETAGNE,1966,T,0,215,104157,0,7688431,3290325.4329171,0.427957984264552,3.11496106314371,0.0
BRETAGNE,1967,T,0,214,102237,0,7103389,3327203.61243191,0.468396650166831,2.87793181097201,0.0
BRETAGNE,1968,T,0,206,97493,0,6953046,3406457.89281919,0.489923106048658,2.81702047664174,0.0
BRETAGNE,1969,T,0,205,97085,0,6302060,3541378.62695268,0.561939846169773,2.55327407082088,0.0
BRETAGNE,1970,T,0,205,96149,0,6224683,3845390.78018834,0.617764917536899,2.52192484726891,0.0
BRETAGNE,1971,T,0,192,89585,0,6040483,4151397.11901847,0.687262445572394,2.44729637914179,0.0
BRETAGNE,1972,T,0,190,87683,0,6207522,4772076.67575771,0.768757110447246,2.39171143443998,0.0
BRETAGNE,1973,T,0,190,87302,0,5862023,5333649.46177875,0.909864983774159,2.25859327410361,0.0
BRETAGNE,1974,T,0,190,86159,0,5949683,6267826.24470811,1.05347230175257,2.29236801132452,0.0
